type,id,geometry_type,geometry_coordinates,properties_@featureType,properties__id,properties_EvseStatus,properties_lastUpdate,properties_ValueAddedServices,properties_Plugs,properties_GeoCoordinates_DecimalDegree_Latitude,properties_GeoCoordinates_DecimalDegree_Longitude,properties_OperatorID,properties_AuthenticationModes,properties_CalibrationLawDataAvailability,properties_AccessibilityLocation,properties_ChargingStationId,properties_HotlinePhoneNumber,properties_IsOpen24Hours,properties_Address_PostalCode,properties_Address_City,properties_Address_Street,properties_Address_Country,properties_Address_ParkingFacility,properties_Address_HouseNum,properties_PaymentOptions,properties_IsHubjectCompatible,properties_ChargingFacilities,properties_RenewableEnergy,properties_ChargingStationNames,properties_EvseID,properties_Accessibility,properties_DynamicInfoAvailable,properties_GeoCoordinates_Google_Coordinates,properties_SubOperatorName,properties_DynamicPowerLevel,properties_MaxCapacity,properties_AdditionalInfo,properties_deltaType,properties_Address_Floor,properties_Address_TimeZone,properties_HubOperatorID
Feature,CH*SWIEE112825,Point,"[8.503611, 47.420278]",evse,CH*SWIEE112825,Available,2024-03-22 03:15:09.493000+00:00,None,"['CCS Combo 2 Plug (Cable Attached)', 'CHAdeMO']",,,CH*SWISSCHARGE,"['NFC RFID Classic', 'REMOTE']",Not Available,OnStreet,CH*SWIEE112824,+41713881150,True,0,Zürich,Wehntalerstrasse,CHE,,0,Direct,True,"[{'Power': 50, 'PowerType': 'DC'}, {'Power': 50, 'PowerType': 'DC'}]",False,"[{'lang': 'de', 'value': 'ewz Wehntalerstrasse DC'}]",CH*SWIEE112825,Free publicly accessible,true,47.420278 8.503611,,,,,insert,,UTC+01:00,CH*SWISSCHARGE
Feature,CH*SWIEE112824,Point,"[8.503611, 47.420278]",evse,CH*SWIEE112824,Available,2024-03-22 03:15:09.493000+00:00,None,Type 2 Outlet,,,CH*SWISSCHARGE,"['NFC RFID Classic', 'REMOTE']",Not Available,OnStreet,CH*SWIEE112824,+41713881150,True,0,Zürich,Wehntalerstrasse,CHE,,0,Direct,True,"[{'Power': 43, 'PowerType': 'AC_3_PHASE'}]",False,"[{'lang': 'de', 'value': 'ewz Wehntalerstrasse DC'}]",CH*SWIEE112824,Free publicly accessible,true,47.420278 8.503611,,,,,insert,,UTC+01:00,CH*SWISSCHARGE
Feature,CH*SWIEE117606,Point,"[8.48591995, 47.39673789]",evse,CH*SWIEE117606,Occupied,2024-03-22 03:15:09.498000+00:00,None,Type 2 Outlet,,,CH*SWISSCHARGE,"['NFC RFID Classic', 'REMOTE']",Not Available,OnStreet,CH*SWIEE117606,+41713881150,True,0,Zürich,Grünauring 42,CHE,,0,Direct,True,"[{'Power': 22, 'PowerType': 'AC_3_PHASE'}]",False,"[{'lang': 'de', 'value': 'Grünauring 42 Zürich  8064 PP3'}]",CH*SWIEE117606,Free publicly accessible,true,47.39673789 8.48591995,,,,,insert,,UTC+01:00,CH*SWISSCHARGE
Feature,CH*SWIEE130046,Point,"[8.55247418, 47.37942158]",evse,CH*SWIEE130046,Occupied,2024-03-22 03:15:09.514000+00:00,None,Type 2 Outlet,,,CH*SWISSCHARGE,"['NFC RFID Classic', 'REMOTE']",Not Available,OnStreet,CH*SWIEE130046,+41713881150,True,0,Zürich,Huttenstrasse 63,CHE,,0,Direct,True,"[{'Power': 22, 'PowerType': 'AC_3_PHASE'}]",False,"[{'lang': 'de', 'value': 'ewz Huttenstrasse 63 '}]",CH*SWIEE130046,Free publicly accessible,true,47.37942158 8.55247418,,,,,insert,,UTC+01:00,CH*SWISSCHARGE
Feature,CH*SWIEE130054,Point,"[8.50533068, 47.3955898]",evse,CH*SWIEE130054,Available,2024-03-22 03:15:09.514000+00:00,None,Type 2 Outlet,,,CH*SWISSCHARGE,"['NFC RFID Classic', 'REMOTE']",Not Available,OnStreet,CH*SWIEE130054,+41713881150,True,0,Zürich,Am Wasser 55,CHE,,0,Direct,True,"[{'Power': 43, 'PowerType': 'AC_3_PHASE'}]",False,"[{'lang': 'de', 'value': 'ewz Am Wasser 55 DC'}]",CH*SWIEE130054,Free publicly accessible,true,47.3955898 8.50533068,,,,,insert,,UTC+01:00,CH*SWISSCHARGE
Feature,CH*SWIEE223509,Point,"[8.51948463, 47.34015476]",evse,CH*SWIEE223509,Available,2024-03-22 03:15:09.514000+00:00,None,CCS Combo 2 Plug (Cable Attached),,,CH*SWISSCHARGE,"['NFC RFID Classic', 'REMOTE']",Not Available,OnStreet,CH*SWIEE130000,+41713881150,True,0,Zürich,Allmendstrasse 121,CHE,,0,Direct,True,"[{'Power': 100, 'PowerType': 'DC'}]",False,"[{'lang': 'de', 'value': 'SOCAR Tankstelle Manegg'}]",CH*SWIEE223509,Free publicly accessible,true,47.34015476 8.51948463,,,,,insert,,UTC+01:00,CH*SWISSCHARGE
Feature,CH*SWIEE223510,Point,"[8.51948463, 47.34015476]",evse,CH*SWIEE223510,Available,2024-03-22 03:15:09.514000+00:00,None,CCS Combo 2 Plug (Cable Attached),,,CH*SWISSCHARGE,"['NFC RFID Classic', 'REMOTE']",Not Available,OnStreet,CH*SWIEE130000,+41713881150,True,0,Zürich,Allmendstrasse 121,CHE,,0,Direct,True,"[{'Power': 100, 'PowerType': 'DC'}]",False,"[{'lang': 'de', 'value': 'SOCAR Tankstelle Manegg'}]",CH*SWIEE223510,Free publicly accessible,true,47.34015476 8.51948463,,,,,insert,,UTC+01:00,CH*SWISSCHARGE
Feature,CH*SWIEE130047,Point,"[8.55247418, 47.37942158]",evse,CH*SWIEE130047,Available,2024-03-22 03:15:09.514000+00:00,None,"['CHAdeMO', 'CCS Combo 2 Plug (Cable Attached)']",,,CH*SWISSCHARGE,"['NFC RFID Classic', 'REMOTE']",Not Available,OnStreet,CH*SWIEE130046,+41713881150,True,0,Zürich,Huttenstrasse 63,CHE,,0,Direct,True,"[{'Power': 50, 'PowerType': 'DC'}, {'Power': 50, 'PowerType': 'DC'}]",False,"[{'lang': 'de', 'value': 'ewz Huttenstrasse 63 '}]",CH*SWIEE130047,Free publicly accessible,true,47.37942158 8.55247418,,,,,insert,,UTC+01:00,CH*SWISSCHARGE
Feature,CH*SWIEE130055,Point,"[8.50533068, 47.3955898]",evse,CH*SWIEE130055,Available,2024-03-22 03:15:09.514000+00:00,None,"['CHAdeMO', 'CCS Combo 2 Plug (Cable Attached)']",,,CH*SWISSCHARGE,"['NFC RFID Classic', 'REMOTE']",Not Available,OnStreet,CH*SWIEE130054,+41713881150,True,0,Zürich,Am Wasser 55,CHE,,0,Direct,True,"[{'Power': 50, 'PowerType': 'DC'}, {'Power': 50, 'PowerType': 'DC'}]",False,"[{'lang': 'de', 'value': 'ewz Am Wasser 55 DC'}]",CH*SWIEE130055,Free publicly accessible,true,47.3955898 8.50533068,,,,,insert,,UTC+01:00,CH*SWISSCHARGE
Feature,CH*SWIEE223763,Point,"[8.49658962, 47.36845041]",evse,CH*SWIEE223763,Available,2024-03-22 03:15:09.514000+00:00,None,CCS Combo 2 Plug (Cable Attached),,,CH*SWISSCHARGE,"['NFC RFID Classic', 'REMOTE']",Not Available,OnStreet,CH*SWIEE130142,+41713881150,True,0,Zürich,Birmensdorferstrasse 484,CHE,,0,Direct,True,"[{'Power': 100, 'PowerType': 'DC'}]",False,"[{'lang': 'de', 'value': 'SOCAR Tankstelle Triemli'}]",CH*SWIEE223763,Free publicly accessible,true,47.36845041 8.49658962,,,,,insert,,UTC+01:00,CH*SWISSCHARGE
Feature,CH*SWIEE223764,Point,"[8.49658962, 47.36845041]",evse,CH*SWIEE223764,Available,2024-03-22 03:15:09.514000+00:00,None,CCS Combo 2 Plug (Cable Attached),,,CH*SWISSCHARGE,"['NFC RFID Classic', 'REMOTE']",Not Available,OnStreet,CH*SWIEE130142,+41713881150,True,0,Zürich,Birmensdorferstrasse 484,CHE,,0,Direct,True,"[{'Power': 100, 'PowerType': 'DC'}]",False,"[{'lang': 'de', 'value': 'SOCAR Tankstelle Triemli'}]",CH*SWIEE223764,Free publicly accessible,true,47.36845041 8.49658962,,,,,insert,,UTC+01:00,CH*SWISSCHARGE
Feature,CH*SWIEE130042,Point,"[8.51198911, 47.39634584]",evse,CH*SWIEE130042,Available,2024-03-22 03:15:09.514000+00:00,None,Type 2 Outlet,,,CH*SWISSCHARGE,"['NFC RFID Classic', 'REMOTE']",Not Available,OnStreet,CH*SWIEE130042,+41713881150,True,0,Zürich,Limmattalstrasse 19a,CHE,,0,Direct,True,"[{'Power': 43, 'PowerType': 'AC_3_PHASE'}]",False,"[{'lang': 'de', 'value': 'ewz Limmattalstrasse 19a DC'}]",CH*SWIEE130042,Free publicly accessible,true,47.39634584 8.51198911,,,,,insert,,UTC+01:00,CH*SWISSCHARGE
