type,id,geometry_type,properties_@featureType,properties__id,properties_EvseStatus,properties_lastUpdate,properties_ValueAddedServices,properties_GeoCoordinates_DecimalDegree_Latitude,properties_GeoCoordinates_DecimalDegree_Longitude,properties_OperatorID,properties_CalibrationLawDataAvailability,properties_AccessibilityLocation,properties_ChargingStationId,properties_HotlinePhoneNumber,properties_IsOpen24Hours,properties_Address_PostalCode,properties_Address_City,properties_Address_Street,properties_Address_Country,properties_Address_ParkingFacility,properties_Address_HouseNum,properties_IsHubjectCompatible,properties_RenewableEnergy,properties_EvseID,properties_Accessibility
Feature,CHFASE4150401,Point,evse,CHFASE4150401,Available,2023-06-29T12:46:33Z,None,46.95768,9.54895,CH*FASTNED,Not Available,OnStreet,50819,41415391092,TRUE,7205,Zizers,Rastplatz Apfelwuhr Nord A13,CHE,TRUE,n/a,FALSE,TRUE,CHFASE4150401,Free publicly accessible
Feature,CHFASE4150402,Point,evse,CHFASE4150402,Available,2023-06-29T12:44:01Z,None,46.95768,9.54895,CH*FASTNED,Not Available,OnStreet,50819,41415391092,TRUE,7205,Zizers,Rastplatz Apfelwuhr Nord A13,CHE,TRUE,n/a,FALSE,TRUE,CHFASE4150402,Free publicly accessible
Feature,CHFASE4150403,Point,evse,CHFASE4150403,Available,2023-06-29T12:51:09Z,None,46.95768,9.54895,CH*FASTNED,Not Available,OnStreet,50819,41415391092,TRUE,7205,Zizers,Rastplatz Apfelwuhr Nord A13,CHE,TRUE,n/a,FALSE,TRUE,CHFASE4150403,Free publicly accessible
Feature,CHFASE4150404,Point,evse,CHFASE4150404,Available,2023-06-29T12:48:32Z,None,46.95768,9.54895,CH*FASTNED,Not Available,OnStreet,50819,41415391092,TRUE,7205,Zizers,Rastplatz Apfelwuhr Nord A13,CHE,TRUE,n/a,FALSE,TRUE,CHFASE4150404,Free publicly accessible
Feature,CHFASE4130201,Point,evse,CHFASE4130201,Available,2023-03-15T12:57:06Z,None,47.392556,8.160158,CH*FASTNED,Not Available,OnStreet,50231,41415391092,TRUE,5600,Lenzburg,Rastplatz Lenzburg A1,CHE,TRUE,n/a,FALSE,TRUE,CHFASE4130201,Free publicly accessible
Feature,CHFASE4130202,Point,evse,CHFASE4130202,Occupied,2023-03-15T12:52:54Z,None,47.392556,8.160158,CH*FASTNED,Not Available,OnStreet,50231,41415391092,TRUE,5600,Lenzburg,Rastplatz Lenzburg A1,CHE,TRUE,n/a,FALSE,TRUE,CHFASE4130202,Free publicly accessible
Feature,CHFASE4130203,Point,evse,CHFASE4130203,Available,2023-03-15T12:57:23Z,None,47.392556,8.160158,CH*FASTNED,Not Available,OnStreet,50231,41415391092,TRUE,5600,Lenzburg,Rastplatz Lenzburg A1,CHE,TRUE,n/a,FALSE,TRUE,CHFASE4130203,Free publicly accessible
Feature,CHFASE4130204,Point,evse,CHFASE4130204,Available,2023-03-15T11:55:05Z,None,47.392556,8.160158,CH*FASTNED,Not Available,OnStreet,50231,41415391092,TRUE,5600,Lenzburg,Rastplatz Lenzburg A1,CHE,TRUE,n/a,FALSE,TRUE,CHFASE4130204,Free publicly accessible
Feature,CHFASE4130101,Point,evse,CHFASE4130101,Available,2024-02-29T20:15:29Z,None,47.380548,8.109115,CH*FASTNED,Not Available,OnStreet,50198,41415391092,TRUE,5034,Suhr,Rastplatz Suhr A1,CHE,TRUE,n/a,FALSE,TRUE,CHFASE4130101,Free publicly accessible
Feature,CHFASE4130102,Point,evse,CHFASE4130102,Available,2024-02-29T20:15:30Z,None,47.380548,8.109115,CH*FASTNED,Not Available,OnStreet,50198,41415391092,TRUE,5034,Suhr,Rastplatz Suhr A1,CHE,TRUE,n/a,FALSE,TRUE,CHFASE4130102,Free publicly accessible
Feature,CHFASE4130103,Point,evse,CHFASE4130103,Available,2024-03-01T10:56:04Z,None,47.380548,8.109115,CH*FASTNED,Not Available,OnStreet,50198,41415391092,TRUE,5034,Suhr,Rastplatz Suhr A1,CHE,TRUE,n/a,FALSE,TRUE,CHFASE4130103,Free publicly accessible
Feature,CHFASE4130104,Point,evse,CHFASE4130104,Available,2024-03-01T10:56:04Z,None,47.380548,8.109115,CH*FASTNED,Not Available,OnStreet,50198,41415391092,TRUE,5034,Suhr,Rastplatz Suhr A1,CHE,TRUE,n/a,FALSE,TRUE,CHFASE4130104,Free publicly accessible
Feature,CH*ION*E202401,Point,evse,CH*ION*E202401,Unknown,,None,46.990174,7.475976,CH*ION,Not Available,,CH*ION*E202401,41435501449,TRUE,3063,Ittigen,Wolfackerweg,CHE,,nan,FALSE,FALSE,CH*ION*E202401,Free publicly accessible
Feature,CH*ION*E202402,Point,evse,CH*ION*E202402,Unknown,,None,46.990174,7.475976,CH*ION,Not Available,,CH*ION*E202402,41435501449,TRUE,3063,Ittigen,Wolfackerweg,CHE,,nan,FALSE,FALSE,CH*ION*E202402,Free publicly accessible
Feature,CH*ION*E202404,Point,evse,CH*ION*E202404,Unknown,,None,46.990174,7.475976,CH*ION,Not Available,,CH*ION*E202404,41435501449,TRUE,3063,Ittigen,Wolfackerweg,CHE,,nan,FALSE,FALSE,CH*ION*E202404,Free publicly accessible
Feature,CH*ION*E202403,Point,evse,CH*ION*E202403,Unknown,,None,46.990174,7.475976,CH*ION,Not Available,,CH*ION*E202403,41435501449,TRUE,3063,Ittigen,Wolfackerweg,CHE,,nan,FALSE,FALSE,CH*ION*E202403,Free publicly accessible
