,type,id,geometry_type,geometry_coordinates,properties_@featureType,properties__id,properties_EvseStatus,properties_lastUpdate,properties_ValueAddedServices,properties_Plugs,properties_GeoCoordinates_DecimalDegree_Latitude,properties_GeoCoordinates_DecimalDegree_Longitude,properties_OperatorID,properties_AuthenticationModes,properties_CalibrationLawDataAvailability,properties_AccessibilityLocation,properties_ChargingStationId,properties_HotlinePhoneNumber,properties_IsOpen24Hours,properties_Address_PostalCode,properties_Address_City,properties_Address_Street,properties_Address_Country,properties_Address_ParkingFacility,properties_Address_HouseNum,properties_PaymentOptions,properties_IsHubjectCompatible,properties_ChargingFacilities,properties_RenewableEnergy,properties_ChargingStationNames,properties_EvseID,properties_Accessibility,properties_DynamicInfoAvailable,properties_GeoCoordinates_Google_Coordinates,properties_SubOperatorName,properties_DynamicPowerLevel,properties_MaxCapacity,properties_AdditionalInfo,properties_deltaType,properties_Address_Floor,properties_Address_TimeZone,properties_HubOperatorID
0,Feature,CHFASE4140201,Point,"[8.511504, 47.430721]",evse,CHFASE4140201,Available,2024-01-09T12:14:12Z,None,CCS Combo 2 Plug (Cable Attached),47.430721,8.511504,CH*FASTNED,"['NFC RFID Classic', 'REMOTE', 'Direct Payment']",Not Available,OnStreet,50857,+41415391092,True,8046,Zürich,"A4, 8046 Zürich",CHE,True,n/a,"['Direct', 'Contract']",False,"[{'Power': 300, 'Voltage': 600, 'PowerType': 'DC'}]",True,"[{'lang': 'en', 'value': 'Büsisee Nord'}]",CHFASE4140201,Free publicly accessible,auto,,,,,,,,,
1,Feature,CHFASE4140202,Point,"[8.511504, 47.430721]",evse,CHFASE4140202,Available,2024-01-09T12:14:12Z,None,CCS Combo 2 Plug (Cable Attached),47.430721,8.511504,CH*FASTNED,"['NFC RFID Classic', 'REMOTE', 'Direct Payment']",Not Available,OnStreet,50857,+41415391092,True,8046,Zürich,"A4, 8046 Zürich",CHE,True,n/a,"['Direct', 'Contract']",False,"[{'Power': 300, 'Voltage': 600, 'PowerType': 'DC'}]",True,"[{'lang': 'en', 'value': 'Büsisee Nord'}]",CHFASE4140202,Free publicly accessible,auto,,,,,,,,,
2,Feature,CHFASE4140203,Point,"[8.511504, 47.430721]",evse,CHFASE4140203,Available,2024-01-09T14:17:26Z,None,CCS Combo 2 Plug (Cable Attached),47.430721,8.511504,CH*FASTNED,"['NFC RFID Classic', 'REMOTE', 'Direct Payment']",Not Available,OnStreet,50857,+41415391092,True,8046,Zürich,"A4, 8046 Zürich",CHE,True,n/a,"['Direct', 'Contract']",False,"[{'Power': 300, 'Voltage': 600, 'PowerType': 'DC'}]",True,"[{'lang': 'en', 'value': 'Büsisee Nord'}]",CHFASE4140203,Free publicly accessible,auto,,,,,,,,,
3,Feature,CHFASE4140204,Point,"[8.511504, 47.430721]",evse,CHFASE4140204,Available,2024-01-09T14:17:26Z,None,"['CHAdeMO', 'CCS Combo 2 Plug (Cable Attached)']",47.430721,8.511504,CH*FASTNED,"['NFC RFID Classic', 'REMOTE', 'Direct Payment']",Not Available,OnStreet,50857,+41415391092,True,8046,Zürich,"A4, 8046 Zürich",CHE,True,n/a,"['Direct', 'Contract']",False,"[{'Power': 50, 'Voltage': 400, 'PowerType': 'DC'}, {'Power': 300, 'Voltage': 600, 'PowerType': 'DC'}]",True,"[{'lang': 'en', 'value': 'Büsisee Nord'}]",CHFASE4140204,Free publicly accessible,auto,,,,,,,,,
4,Feature,CHFASE4140206,Point,"[8.511504, 47.430721]",evse,CHFASE4140206,Available,2024-01-09T12:50:57Z,None,CCS Combo 2 Plug (Cable Attached),47.430721,8.511504,CH*FASTNED,"['NFC RFID Classic', 'REMOTE', 'Direct Payment']",Not Available,OnStreet,50857,+41415391092,True,8046,Zürich,"A4, 8046 Zürich",CHE,True,n/a,"['Direct', 'Contract']",False,"[{'Power': 300, 'Voltage': 600, 'PowerType': 'DC'}]",True,"[{'lang': 'en', 'value': 'Büsisee Nord'}]",CHFASE4140206,Free publicly accessible,auto,,,,,,,,,
5,Feature,CHFASE4140205,Point,"[8.511504, 47.430721]",evse,CHFASE4140205,Available,2024-01-09T02:45:32Z,None,CCS Combo 2 Plug (Cable Attached),47.430721,8.511504,CH*FASTNED,"['NFC RFID Classic', 'REMOTE', 'Direct Payment']",Not Available,OnStreet,50857,+41415391092,True,8046,Zürich,"A4, 8046 Zürich",CHE,True,n/a,"['Direct', 'Contract']",False,"[{'Power': 300, 'Voltage': 600, 'PowerType': 'DC'}]",True,"[{'lang': 'en', 'value': 'Büsisee Nord'}]",CHFASE4140205,Free publicly accessible,auto,,,,,,,,,
6,Feature,CHFASE4140207,Point,"[8.511504, 47.430721]",evse,CHFASE4140207,Available,2024-01-09T13:44:39Z,None,CCS Combo 2 Plug (Cable Attached),47.430721,8.511504,CH*FASTNED,"['NFC RFID Classic', 'REMOTE', 'Direct Payment']",Not Available,OnStreet,50857,+41415391092,True,8046,Zürich,"A4, 8046 Zürich",CHE,True,n/a,"['Direct', 'Contract']",False,"[{'Power': 300, 'Voltage': 600, 'PowerType': 'DC'}]",True,"[{'lang': 'en', 'value': 'Büsisee Nord'}]",CHFASE4140207,Free publicly accessible,auto,,,,,,,,,
7,Feature,CHFASE4140208,Point,"[8.511504, 47.430721]",evse,CHFASE4140208,Available,2024-01-09T09:00:34Z,None,"['CHAdeMO', 'CCS Combo 2 Plug (Cable Attached)']",47.430721,8.511504,CH*FASTNED,"['NFC RFID Classic', 'REMOTE', 'Direct Payment']",Not Available,OnStreet,50857,+41415391092,True,8046,Zürich,"A4, 8046 Zürich",CHE,True,n/a,"['Direct', 'Contract']",False,"[{'Power': 50, 'Voltage': 400, 'PowerType': 'DC'}, {'Power': 300, 'Voltage': 600, 'PowerType': 'DC'}]",True,"[{'lang': 'en', 'value': 'Büsisee Nord'}]",CHFASE4140208,Free publicly accessible,auto,,,,,,,,,
8,Feature,AT*HTB*E1003652,Point,"[8.516012, 47.378134]",evse,AT*HTB*E1003652,Occupied,,,CCS Combo 2 Plug (Cable Attached),,,CH*CPI,,Not Available,,7849e3be-534e-11e9-a5c8-42010a840003,+00000,True,8004,Zürich,Sihlfeldstrasse 125,CHE,,,,False,"[{'Power': 22, 'PowerType': 'DC'}]",False,"[{'lang': 'en', 'value': 'be.ENERGISED'}]",AT*HTB*E1003652,Free publicly accessible,true,47.37813400 8.51601200,ChargePoint,,,,,,,
9,Feature,AT*HTB*E1017073,Point,"[8.51559, 47.378011]",evse,AT*HTB*E1017073,Occupied,,,Type 2 Outlet,,,CH*CPI,,Not Available,,d4c5a674-f2dc-11ec-9b9c-42010aa40fc0,+00000,True,8004,Zürich,Kochstrasse 10,CHE,,,,False,"[{'Power': 11, 'PowerType': 'AC_3_PHASE'}]",False,"[{'lang': 'en', 'value': 'be.ENERGISED non-public charging station'}]",AT*HTB*E1017073,Free publicly accessible,true,47.37801100 8.51559000,ChargePoint,,,,,,,
